41	[((38002424, 38002421, 0), 0), ((38002421, 38002419, 0), 4), ((38002419, 38035334, 0), 13), ((38035334, 38048952, 0), 22), ((38048952, 38096643, 0), 35), ((38096643, 38024757, 0), 49), ((38024757, 38057031, 0), 61), ((38057031, 38046725, 0), 83), ((38046725, 38058901, 0), 94), ((38058901, 38078585, 0), 104), ((38078585, 38078589, 0), 114), ('GOAL', 38078589, 114)]
42	[((37985146, 2366289498, 0), 0), ((2366289498, 2366289499, 0), 3), ((2366289499, 37974745, 0), 11), ((37974745, 38078585, 0), 23), ((38078585, 38078589, 0), 35), ('GOAL', 38078589, 35)]
43	[((38058900, 38058901, 0), 0), ((38058901, 38078585, 0), 13), ((38078585, 38078589, 0), 24), ('GOAL', 38078589, 24)]
44	[((38002419, 37982587, 0), 0), ((37982587, 37982582, 0), 1), ((37982582, 37982569, 0), 6), ((37982569, 37982563, 0), 12), ((37982563, 37982560, 0), 18), ((37982560, 37982555, 0), 24), ((37982555, 37982544, 0), 29), ((37982544, 38058900, 0), 35), ((38058900, 38127679, 0), 47), ((38127679, 38107786, 0), 52), ('GOAL', 38107786, 52)]
45	[((38062559, 38027658, 0), 0)]
46	[((38039364, 38077723, 0), 0), ((38077723, 38083061, 0), 3), ((38083061, 387669119, 0), 10), ((387669119, 38135625, 0), 20), ((38135625, 38024769, 0), 23), ((38024769, 38024763, 0), 25), ((38024763, 38024757, 0), 29), ((38024757, 38057031, 0), 37), ((38057031, 38046725, 0), 56), ((38046725, 38058901, 0), 66), ((38058901, 38078585, 0), 76), ((38078585, 38078589, 0), 86), ('GOAL', 38078589, 86)]
47	[((37982611, 38126878, 0), 0), ((38126878, 38126875, 0), 7), ((38126875, 38123182, 0), 12), ((38123182, 38038045, 0), 17), ((38038045, 38002419, 0), 26), ((38002419, 38035334, 0), 35), ((38035334, 38048952, 0), 54), ((38048952, 38096643, 0), 71), ((38096643, 38024757, 0), 105), ((38024757, 38057031, 0), 119), ((38057031, 38046725, 0), 140), ((38046725, 38058901, 0), 155), ((38058901, 38078585, 0), 165), ((38078585, 38078589, 0), 174), ('GOAL', 38078589, 174)]
48	[((387669119, 38048961, 0), 0), ((38048961, 38048956, 0), 6), ((38048956, 38048952, 0), 17), ((38048952, 38096643, 0), 35), ((38096643, 38024757, 0), 48), ((38024757, 38057031, 0), 60), ((38057031, 38046725, 0), 82), ((38046725, 38058901, 0), 92), ((38058901, 38078585, 0), 103), ((38078585, 38078589, 0), 112), ('GOAL', 38078589, 112)]
49	[((38002419, 38035334, 0), 0), ((38035334, 38048952, 0), 3), ((38048952, 38096643, 0), 16), ((38096643, 38024757, 0), 22), ((38024757, 38057031, 0), 30), ((38057031, 38046725, 0), 47), ((38046725, 38058901, 0), 56), ((38058901, 38078585, 0), 66), ((38078585, 38078589, 0), 75), ('GOAL', 38078589, 75)]
50	[((38005219, 38127601, 0), 0), ((38127601, 38005219, 0), 1), ((38005219, 38014590, 0), 4), ((38014590, 38063509, 0), 9), ((38063509, 38039366, 0), 14), ((38039366, 38048961, 0), 19), ((38048961, 38048956, 0), 34), ((38048956, 38048952, 0), 43), ((38048952, 38096643, 0), 56), ((38096643, 38024757, 0), 80), ((38024757, 38057031, 0), 94), ((38057031, 38046725, 0), 115), ((38046725, 38058901, 0), 128), ((38058901, 38078585, 0), 138), ((38078585, 38078589, 0), 148), ('GOAL', 38078589, 148)]
