21	[((55950074, 55950072, 0), 0), ((55950072, 5432637218, 0), 1), ((5432637218, 56116915, 0), 2), ((56116915, 4925829173, 0), 6), ((4925829173, 7049436446, 0), 11), ((7049436446, 56084792, 0), 12), ((56084792, 7049377518, 0), 16), ((7049377518, 7049377521, 0), 17), ((7049377521, 7028171795, 0), 22), ((7028171795, 7049316377, 0), 35), ((7049316377, 56072571, 0), 42), ((56072571, 5967827272, 0), 48), ((5967827272, 56093153, 0), 56), ((56093153, 6780134822, 0), 73), ((6780134822, 5964494955, 0), 83), ((5964494955, 56131641, 0), 84), ((56131641, 6780134815, 0), 91), ((6780134815, 56034880, 0), 118), ((56034880, 56045060, 0), 121), ((56045060, 6780134818, 0), 133), ((6780134818, 6780134811, 0), 145), ((6780134811, 3711226065, 0), 150), ((3711226065, 3711226062, 0), 161), ((3711226062, 3711226058, 0), 165), ((3711226058, 6320156843, 0), 168), ((6320156843, 6776205179, 0), 174), ('GOAL', 6776205179, 174)]
22	[((56145506, 56034427, 0), 0), ((56034427, 56029952, 0), 4), ((56029952, 56029947, 0), 7), ((56029947, 56030273, 0), 22), ((56030273, 56021344, 0), 31), ((56021344, 56030280, 0), 34), ((56030280, 56060421, 0), 52), ((56060421, 7297665396, 0), 68), ((7297665396, 56097863, 0), 75), ((56097863, 7297665435, 0), 81), ((7297665435, 354739241, 0), 82), ('GOAL', 354739241, 82)]
23	[((56051910, 56053494, 0), 0), ((56053494, 56051910, 0), 3), ((56051910, 56051909, 0), 5), ((56051909, 3784267952, 0), 7), ((3784267952, 56074636, 0), 9), ((56074636, 56114153, 0), 11), ((56114153, 56114161, 0), 29), ((56114161, 56138378, 0), 37), ((56138378, 56056056, 0), 44), ('GOAL', 56056056, 44)]
24	[((56078355, 56078353, 0), 0), ((56078353, 56078355, 0), 14), ((56078355, 56078358, 0), 20), ((56078358, 56128284, 0), 62), ((56128284, 56043059, 0), 70), ((56043059, 56034511, 0), 77), ((56034511, 56043053, 0), 118), ((56043053, 56043052, 0), 121), ((56043052, 56031468, 0), 126), ((56031468, 356602156, 0), 136), ((356602156, 56072354, 0), 148), ((56072354, 56051480, 0), 154), ((56051480, 56077542, 0), 159), ('GOAL', 56077542, 159)]
25	[((56149943, 56039334, 0), 0), ((56039334, 56104572, 0), 1), ((56104572, 56093408, 0), 7), ((56093408, 56093401, 0), 9), ((56093401, 56104564, 0), 18), ((56104564, 56104562, 0), 20), ((56104562, 56034978, 0), 24), ((56034978, 3601261899, 0), 39), ((3601261899, 56034980, 0), 48), ((56034980, 56129707, 0), 55), ((56129707, 56129711, 0), 71), ((56129711, 56117906, 0), 113), ((56117906, 56056984, 0), 119), ((56056984, 56017932, 0), 132), ((56017932, 1816389670, 0), 143), ((1816389670, 56117917, 0), 152), ((56117917, 1816389675, 0), 158), ((1816389675, 56078060, 0), 162), ((56078060, 56089596, 0), 181), ((56089596, 4926534419, 0), 192), ((4926534419, 56117114, 0), 206), ((56117114, 56017876, 0), 207), ((56017876, 6887884645, 0), 211), ('GOAL', 6887884645, 211)]
26	[((56104061, 56104058, 0), 0), ((56104058, 56104061, 0), 1), ((56104061, 417257103, 0), 3), ((417257103, 56035282, 0), 8), ((56035282, 56029488, 0), 12), ((56029488, 56102911, 0), 14), ((56102911, 56135939, 0), 17), ('GOAL', 56135939, 17)]
27	[((2191283249, 2191283184, 0), 0), ((2191283184, 2191283180, 0), 1), ((2191283180, 356605288, 0), 2), ((356605288, 356605287, 0), 9), ((356605287, 356605286, 0), 17), ((356605286, 2191283076, 0), 20), ((2191283076, 2191283087, 0), 28), ((2191283087, 2191282970, 0), 31), ((2191282970, 2191282968, 0), 39), ((2191282968, 56051487, 0), 41), ((56051487, 56096196, 0), 42), ('GOAL', 56096196, 42)]
28	[((3590773738, 3457474235, 0), 0), ((3457474235, 56029943, 0), 1), ((56029943, 56029941, 0), 17), ((56029941, 6616410484, 0), 21), ((6616410484, 56021345, 0), 24), ((56021345, 56030280, 0), 40), ((56030280, 56060421, 0), 43), ((56060421, 7297665396, 0), 59), ((7297665396, 56097863, 0), 66), ((56097863, 7297665435, 0), 72), ((7297665435, 354739241, 0), 73), ('GOAL', 354739241, 73)]
29	[((7300898893, 7300898888, 0), 0), ((7300898888, 56129636, 0), 7), ((56129636, 56034702, 0), 8), ((56034702, 56098153, 0), 16), ((56098153, 56129649, 0), 40), ((56129649, 7297665471, 0), 76), ((7297665471, 7297665472, 0), 82), ((7297665472, 7300898907, 0), 83), ((7300898907, 4923737556, 0), 84), ('GOAL', 4923737556, 84)]
30	[((55950074, 55950078, 0), 0), ((55950078, 55950080, 0), 7), ((55950080, 55950082, 0), 19), ((55950082, 55950084, 0), 36), ((55950084, 55950086, 0), 51), ((55950086, 55973821, 0), 93), ((55973821, 55973815, 0), 96), ((55973815, 55973814, 0), 109), ((55973814, 56046703, 0), 113), ((56046703, 55992321, 0), 119), ((55992321, 56118729, 0), 124), ((56118729, 56073667, 0), 125), ((56073667, 56059324, 0), 285), ((56059324, 56118754, 0), 289), ((56118754, 1878074444, 0), 319), ('GOAL', 1878074444, 319)]
31	[((56113688, 56134013, 0), 0), ((56134013, 56134011, 0), 12), ((56134011, 56059652, 0), 16), ((56059652, 56159397, 0), 24), ((56159397, 56020725, 0), 53), ((56020725, 56072610, 0), 56), ((56072610, 55950563, 0), 97), ((55950563, 56003708, 0), 105), ((56003708, 56093522, 0), 111), ((56093522, 56093529, 0), 126), ((56093529, 56081068, 0), 136), ((56081068, 56081072, 0), 147), ((56081072, 56101610, 0), 169), ((56101610, 56101612, 0), 189), ((56101612, 56094454, 0), 198), ((56094454, 56094457, 0), 222), ((56094457, 6367597430, 0), 226), ((6367597430, 56046952, 0), 259), ('GOAL', 56046952, 259)]
32	[((56040961, 56040954, 0), 0), ((56040954, 56040953, 0), 10), ((56040953, 56021488, 0), 17), ((56021488, 6780134821, 0), 20), ((6780134821, 56131641, 0), 49), ((56131641, 6780134815, 0), 50), ((6780134815, 56034880, 0), 76), ((56034880, 56045060, 0), 79), ((56045060, 6780134818, 0), 91), ((6780134818, 6780134811, 0), 103), ((6780134811, 3711226065, 0), 108), ((3711226065, 3711226062, 0), 119), ((3711226062, 3711226058, 0), 123), ((3711226058, 6320156843, 0), 126), ((6320156843, 6776205179, 0), 132), ('GOAL', 6776205179, 132)]
33	[((6065702297, 6065702295, 0), 0), ((6065702295, 6065702292, 0), 18), ((6065702292, 56082136, 0), 45), ('GOAL', 56082136, 45)]
34	[((56030419, 56030420, 0), 0), ((56030420, 56030419, 0), 15), ((56030419, 56046617, 0), 31), ((56046617, 56046616, 0), 43), ((56046616, 4932110214, 0), 48), ((4932110214, 3292802465, 0), 81), ((3292802465, 56138389, 0), 82), ((56138389, 56092104, 0), 102), ((56092104, 56092105, 0), 113), ((56092105, 56164551, 0), 117), ((56164551, 56102905, 0), 129), ((56102905, 56065547, 0), 142), ((56065547, 56065549, 0), 175), ((56065549, 56097462, 0), 178), ((56097462, 56043015, 0), 181), ((56043015, 56106954, 0), 185), ('GOAL', 56106954, 185)]
35	[((56092125, 56054443, 0), 0), ((56054443, 56054441, 0), 2), ((56054441, 56092119, 0), 7), ((56092119, 56109201, 0), 14), ((56109201, 56109214, 0), 27), ((56109214, 56085075, 0), 33), ((56085075, 56102908, 0), 71), ((56102908, 56054465, 0), 75), ((56054465, 56035302, 0), 81), ((56035302, 56035305, 0), 89), ((56035305, 56035307, 0), 96), ((56035307, 56018543, 0), 100), ((56018543, 56035311, 0), 103), ('GOAL', 56035311, 103)]
